TITLE,REGION,SPECIFIC REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,MOST_RECENT_REPORT_DATE,REPORT_COUNT,COAST,RIVERS,LAKES,WATERFALLS,OLD GROWTH,FALL FOLIAGE,WILDFLOWERS/MEADOWS,MOUNTAIN VIEWS,SUMMITS,WILDLIFE,RIDGES,ESTABLISHED CAMPSITES,DOGS ALLOWED ON LEASH,NO DOGS,KID FRIENDLY,REQUIRED PASSES,URL
Sawtooth Ridge,Eastern Washington,Palouse and Blue Mountains,8,roundtrip,500,5500,2.67,3,46.06178361,-117.8441325,6/9/21 0:00,11,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,No pass,https://www.wta.org/go-hiking/hikes/sawtooth-ridge-blue-mtns
Rattlesnake Trail,Eastern Washington,Palouse and Blue Mountains,10,roundtrip,2900,5700,3.43,7,46.20433914,-117.7058244,11/7/21 0:00,26,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/rattlesnake-trail
Oregon Butte,Eastern Washington,Palouse and Blue Mountains,6,roundtrip,987,6387,4.14,7,46.11833168,-117.7149653,6/5/21 0:00,50,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/oregon-butte
Mount Misery,Eastern Washington,Palouse and Blue Mountains,16,roundtrip,1000,6401,2.75,4,46.1182006,-117.7143596,5/31/21 0:00,28,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/mount-misery
Dexter Ridge,Eastern Washington,Palouse and Blue Mountains,5,one-way,2547,5500,0,0,46.02152219,-117.7900136,7/7/19 0:00,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/dexter-ridge
Middle Tie Trail,Eastern Washington,Palouse and Blue Mountains,1.6,one-way,1200,5400,0,0,46.0949,-117.8469,5/31/20 0:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Northwest Forest Pass, Sno-Parks Permit",https://www.wta.org/go-hiking/hikes/middle-tie-trail-3240-to-middle-point-ridge-trail-3116
Grizzly Bear Ridge - Wenaha River - Slick Ear Loop,Eastern Washington,Palouse and Blue Mountains,20,roundtrip,1300,5400,0,0,46.06380388,-117.8028339,5/31/21 0:00,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/grizzly-bear-ridge-3103
Crooked Creek,Eastern Washington,Palouse and Blue Mountains,17,one-way,3800,5700,3,4,46.15376009,-117.6511393,3/25/21 0:00,19,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,,https://www.wta.org/go-hiking/hikes/crooked-creek
Tucannon River - Rattlesnake Loop,Eastern Washington,Palouse and Blue Mountains,21,roundtrip,2700,,0,0,46.18901234,-117.619354,8/29/19 0:00,4,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/tucannon-river-rattlesnake-loop
Packer's Trail,Eastern Washington,Palouse and Blue Mountains,5.5,one-way,2600,4800,0,0,46.02233135,-117.5465816,6/11/16 0:00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/packers-trail
