,TITLE,REGION,SPECIFIC REGION,HIGHEST,lat,lon,COAST,RIVERS,LAKES,WATERFALLS,OLD GROWTH,FALL FOLIAGE,WILDFLOWERS/MEADOWS,MOUNTAIN VIEWS,SUMMITS,WILDLIFE,RIDGES,ESTABLISHED CAMPSITES,DIFFICULTY,LABEL
0,Sawtooth Ridge,Eastern Washington,Palouse and Blue Mountains,5500.0,46.06178361,-117.8441325,0,0,0,0,0,0,1,1,0,0,1,0,moderate,11
1,Rattlesnake Trail,Eastern Washington,Palouse and Blue Mountains,5700.0,46.20433914,-117.7058244,0,0,0,0,0,0,1,1,1,0,1,1,very strenuous,0
2,Oregon Butte,Eastern Washington,Palouse and Blue Mountains,6387.0,46.11833168,-117.7149653,0,0,0,0,0,0,1,1,1,1,1,1,moderately strenuous,0
3,Mount Misery,Eastern Washington,Palouse and Blue Mountains,6401.0,46.1182006,-117.7143596,0,0,0,0,0,0,1,1,1,1,1,1,strenuous,0
4,Dexter Ridge,Eastern Washington,Palouse and Blue Mountains,5500.0,46.02152219,-117.7900136,0,1,0,0,0,0,0,0,0,0,0,0,very strenuous,9
5,Middle Tie Trail,Eastern Washington,Palouse and Blue Mountains,5400.0,46.0949,-117.8469,0,0,0,0,0,0,0,0,0,0,0,0,moderate,9
6,Grizzly Bear Ridge - Wenaha River - Slick Ear Loop,Eastern Washington,Palouse and Blue Mountains,5400.0,46.06380388,-117.8028339,0,0,0,0,0,0,1,1,0,0,0,0,very strenuous,5
7,Crooked Creek,Eastern Washington,Palouse and Blue Mountains,5700.0,46.15376009,-117.6511393,0,1,0,0,1,0,1,1,0,1,0,1,very strenuous,1
8,Packer's Trail,Eastern Washington,Palouse and Blue Mountains,4800.0,46.02233135,-117.5465816,0,1,0,0,0,0,1,1,0,0,1,0,very strenuous,11
9,Middle Point Ridge,Eastern Washington,Palouse and Blue Mountains,5724.0,46.1359,-117.808667,0,0,0,0,0,0,0,1,0,1,1,0,very strenuous,11
10,Packers Trail - Mount Misery Loop,Eastern Washington,Palouse and Blue Mountains,6387.0,46.1538,-117.6511,0,0,0,0,0,0,1,1,0,1,1,1,very strenuous,0
11,Tucannon River Canyon,Eastern Washington,Palouse and Blue Mountains,3680.0,46.188583,-117.625317,0,1,0,0,0,0,0,0,0,1,0,0,moderately strenuous,13
12,Table Rock,Eastern Washington,Palouse and Blue Mountains,6250.0,46.03041856,-117.9112753,0,0,0,0,0,0,0,1,1,0,0,0,easy,6
13,Smooth Ridge,Eastern Washington,Palouse and Blue Mountains,6529.0,46.11291501,-117.7455482,0,1,0,0,0,0,0,1,0,0,1,0,very strenuous,11
14,Cathedral Rock,Snoqualmie Region,Salmon La Sac/Teanaway,5550.0,47.5434644,-121.0969905,0,0,1,0,1,1,1,1,1,1,1,1,strenuous,4
15,Big Creek Trail,Snoqualmie Region,Cle Elum Area,3700.0,47.1844,-121.1373,0,1,0,0,1,0,0,0,0,0,0,0,very strenuous,1
16,Taneum Lake,Snoqualmie Region,Cle Elum Area,5400.0,47.061798,-121.0306907,0,0,1,0,1,0,0,0,0,0,0,0,easy,12
17,Manastash Ridge,Central Washington,Yakima,6245.0,47.075206,-121.083096,0,0,0,0,0,0,1,1,1,1,1,0,very strenuous,4
18,Granite Creek,Snoqualmie Region,Cle Elum Area,4600.0,47.161729,-121.091218,0,1,0,0,0,0,1,1,0,0,0,0,strenuous,13
19,Manastash Lake,Central Washington,Yakima,5063.0,47.0248288,-120.9406422,0,0,1,0,0,1,1,0,0,1,0,1,strenuous,8
20,Taneum Ridge,Snoqualmie Region,Cle Elum Area,6080.0,47.1112943,-120.9359926,0,0,0,0,0,0,1,1,1,0,1,0,very strenuous,4
21,Angel's Rest-Devil's Rest Loop,Southwest Washington,Columbia River Gorge - OR,2308.0,45.56026303,-122.1725821,0,1,0,1,0,0,0,0,1,0,0,0,very strenuous,2
22,Siouxon Peak Loop,South Cascades,Dark Divide,4170.0,45.9429912,-122.1853816,0,1,0,1,0,0,0,0,1,0,0,0,very strenuous,2
23,Heather Lake Snowshoe,North Cascades,Mountain Loop Highway,2440.0,48.0829067,-121.7740047,0,0,1,1,1,0,0,1,0,0,0,0,moderately strenuous,2
24,Hamilton Buttes,South Cascades,Dark Divide,5722.0,46.39111667,-121.6179,0,0,0,0,0,0,0,1,0,0,0,0,moderate,5
25,French Creek,Southwest Washington,Lewis River Region,3800.0,46.27781667,-121.79425,0,1,0,0,0,0,0,0,0,1,0,0,moderate,13
26,Meadowdale Beach Park - Lunds Gulch,Puget Sound and Islands,Seattle-Tacoma Area,425.0,47.85583333,-122.3175167,1,1,0,0,0,0,0,1,0,0,0,0,easy,3
27,Mount Finlayson,Puget Sound and Islands,San Juan Islands,290.0,48.4637,-122.999117,1,0,0,0,0,0,1,0,1,1,0,0,moderate,3
28,Bessemer Mountain,Snoqualmie Region,North Bend Area,5028.0,47.51588333,-121.6134167,0,0,0,0,0,0,0,0,0,0,0,0,very strenuous,9
29,Red Mountain (Commonwealth Basin),Snoqualmie Region,Snoqualmie Pass,5890.0,47.4278288,-121.4134415,0,0,0,0,0,0,1,1,1,0,0,0,very strenuous,6
30,North Fork Bridge Creek,Central Cascades,Entiat Mountains/Lake Chelan,4099.0,48.461381,-120.839744,0,1,1,1,0,0,1,1,0,1,0,1,strenuous,10
31,Agnes Gorge,Central Cascades,Entiat Mountains/Lake Chelan,2000.0,48.38073333,-120.8402833,0,1,0,0,0,1,1,1,0,1,0,0,moderate,7
32,Upper Stehekin Valley Road Trail,Central Cascades,Entiat Mountains/Lake Chelan,2400.0,48.38072376,-120.8403095,0,1,0,1,1,1,1,1,0,0,0,1,very strenuous,10
33,Rainbow Falls Mist Trail,Central Cascades,Entiat Mountains/Lake Chelan,1200.0,48.34221266,-120.7012638,0,0,0,1,1,1,0,0,0,0,0,0,easy,2
34,Howard Lake,Central Cascades,Entiat Mountains/Lake Chelan,2180.0,48.38006667,-120.8375667,0,0,1,0,1,1,0,1,0,1,0,0,moderate,12
35,Goode Ridge,Central Cascades,Entiat Mountains/Lake Chelan,6600.0,48.43260241,-120.8810577,0,0,0,0,0,0,0,1,0,1,1,0,very strenuous,11
36,Stehekin River Trail,Central Cascades,Entiat Mountains/Lake Chelan,1200.0,48.34914777,-120.7223654,0,1,1,0,0,1,0,1,0,1,0,1,easy,8
37,Ancient Lakes,Central Washington,Potholes Region,1200.0,47.15186675,-119.9222913,0,0,1,1,0,0,1,0,0,1,0,1,moderately strenuous,2
38,Dingford Creek-Myrtle Lake,Snoqualmie Region,North Bend Area,3800.0,47.5172007,-121.4552307,0,1,1,0,1,0,1,1,0,0,0,1,very strenuous,8
39,Rocky Top and Cowiche Mountain,Central Washington,Yakima,2970.0,46.62777712,-120.6836531,0,0,0,0,0,0,1,1,0,1,1,0,very strenuous,11
40,Lake Stuart,Central Cascades,Leavenworth Area,5065.0,47.5277,-120.8209833,0,0,1,0,1,0,0,1,0,0,0,1,strenuous,8
41,Iron Bear - Teanaway Ridge,Central Cascades,Blewett Pass,5489.0,47.35572395,-120.7176232,0,0,0,0,0,0,1,1,0,0,1,0,strenuous,11
42,Spider Gap - Buck Creek Pass Loop,Central Cascades,Stevens Pass - East,7100.0,48.0673919,-120.8406278,0,0,1,0,0,1,1,1,0,1,1,1,very strenuous,8
43,Hidden Lake (Lake Wenatchee),Central Cascades,Stevens Pass - East,2320.0,47.82163333,-120.8063833,0,0,1,0,1,0,0,0,0,0,0,1,easy,8
44,Wildside Trail-De Leo Wall,Issaquah Alps,Cougar Mountain,1122.0,47.53483333,-122.1288,0,0,0,0,0,0,1,1,0,1,0,0,moderate,5
45,Yakima Greenway,Central Washington,Yakima,1130.0,46.62495492,-120.5322397,0,1,1,0,0,1,0,1,0,1,0,0,easy,13
46,Windy Pass,North Cascades,Pasayten,6900.0,48.73215,-120.6751167,0,0,0,0,0,0,1,1,0,0,1,0,moderately strenuous,11
47,Wolf Creek,Olympic Peninsula,Northern Coast,5100.0,47.97040481,-123.5036445,0,1,0,0,0,1,0,1,0,1,0,0,very strenuous,7
48,White Mountain via Kettle Crest Trail South,Eastern Washington,Okanogan Highlands/Kettle River Range,6921.0,48.60737639,-118.4781075,0,0,0,0,0,0,0,1,1,0,0,0,very strenuous,6
49,West Fork Buttermilk,North Cascades,Methow/Sawtooth,7480.0,48.31111497,-120.336771,0,1,0,0,0,1,0,1,0,0,0,1,very strenuous,11
50,Wild Horses Monument,Central Washington,Yakima,1300.0,46.9645655,-119.9642694,0,1,0,0,0,0,1,0,0,0,0,0,easy,13
51,West Fork Dosewallips River,Olympic Peninsula,Hood Canal,3600.0,47.7434265,-123.2032514,0,1,0,1,1,1,1,1,0,0,0,1,very strenuous,10
52,West Fork Pasayten River,North Cascades,Pasayten,7200.0,48.7337925,-120.6751729,0,1,0,0,0,0,1,1,0,0,1,1,very strenuous,11
53,West Fork Methow River,North Cascades,Methow/Sawtooth,4280.0,48.6515,-120.5623,0,1,0,0,0,0,1,0,0,1,0,0,very strenuous,13
54,Trout Creek,Central Cascades,Stevens Pass - West,1400.0,47.8757746,-121.4609644,0,1,0,1,0,1,0,0,0,1,0,0,moderate,2
55,Tunnel Creek,Central Cascades,Stevens Pass - West,4400.0,47.70942256,-121.1065382,0,0,1,1,0,0,1,0,0,0,0,0,moderate,2
56,Twin Lakes (Wenatchee),Central Cascades,Stevens Pass - East,2850.0,47.92053333,-120.8948833,0,1,1,0,1,0,0,1,0,0,0,1,moderately strenuous,8
57,Trout Creek,North Cascades,Pasayten,5420.0,48.69828333,-120.6367833,0,0,0,0,0,0,1,1,0,0,0,0,moderate,5
58,Triad Creek,North Cascades,Mountain Loop Highway,5807.0,48.13281372,-121.001721,0,1,0,0,1,0,1,0,0,0,0,0,very strenuous,1
59,Escure Ranch - Towell Falls,Central Washington,Potholes Region,1565.0,47.014267,-117.94355,0,0,0,1,0,0,1,0,0,1,0,0,moderate,2
60,Trap Pass,Central Cascades,Stevens Pass - West,5800.0,47.70931361,-121.1065596,0,0,1,1,0,0,1,1,0,0,1,0,very strenuous,10
61,Tenmile Falls,Central Cascades,Entiat Mountains/Lake Chelan,4600.0,48.199807,-120.7745483,0,0,0,1,0,0,1,1,0,1,0,0,moderately strenuous,2
62,Tomyhoi Lake,North Cascades,Mount Baker Area,5400.0,48.94353113,-121.6625118,0,0,1,0,0,0,1,1,0,1,1,0,strenuous,11
63,Top Lake,Central Cascades,Leavenworth Area,5200.0,47.88020372,-121.0791206,0,0,1,0,0,0,1,1,0,0,0,1,strenuous,8
64,Silver Forest - Emmons Vista,Mount Rainier Area,NE - Sunrise/White River,6400.0,46.91407334,-121.6418423,0,0,0,0,0,0,1,1,0,0,0,0,easy,5
65,Baker Lake - Maple Grove,North Cascades,Mount Baker Area,1000.0,48.64561313,-121.674614,0,0,1,0,0,0,0,0,0,0,0,1,moderate,8
66,Alpine Lookout,Central Cascades,Stevens Pass - East,6235.0,47.79226667,-120.79445,0,0,0,0,0,0,1,1,0,1,1,0,very strenuous,11
67,High Divide - Seven Lakes Basin Loop,Olympic Peninsula,Northern Coast,5120.0,47.9506422,-123.815197,0,1,1,0,0,0,0,1,0,1,0,1,very strenuous,8
68,Bridal Veil Falls,Central Cascades,Stevens Pass - West,1600.0,47.80919243,-121.5739748,0,0,0,1,0,0,0,1,0,0,0,0,moderate,2
69,Eightmile Lake,Central Cascades,Leavenworth Area,4650.0,47.53596667,-120.8139,0,1,1,0,1,0,1,1,0,0,0,0,moderately strenuous,1
70,Wilderness Peak Loop,Issaquah Alps,Cougar Mountain,1598.0,47.50931654,-122.0903778,0,0,0,1,1,1,1,0,1,1,1,0,moderate,10
